#name,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high
ABELL_2199,,,,,,,270,60,250,,,,,,,,,270,60,250
ABELL_2204,1.638,0,-0.607,0,1.55,0,,,,,,,,,,,,,,
ABELL_2218,0.834,0,-1.356,0,1.34,0,,,,,,,,,,,,,,
ABELL_2219,0.931,0,-1.079,0,1.46,0,,,,,,,,,,,,,,
ABELL_2244,1.197,0,-0.996,0,1.15,0,,,,,,,,,,,,,,
ABELL_2255,1.006,0,-1.911,0,1.32,0,,,,,,,,,,,,,,
ABELL_2256,0.636,0,-1.513,0,1.1,0,,,,,,,,,,,,,,
ABELL_2259,0.991,0,-1.194,0,1.09,0,,,,,,,,,,,,,,
ABELL_2261,1.025,0,-0.895,0,1.2,0,,,,,,,,,,,,,,
ABELL_2294,0.715,0,-1.163,0,0.95,0,,,,,,,,,,,,,,
ABELL_2319,1.109,0,-1.372,0,1,0,,,,,,,,,,,,,,
ABELL_2384,,,,,,,,,,,,,,,,,,,,
ABELL_2390,0.946,0,-0.827,0,1.34,0,,,,,,,,,,,,,,
ABELL_2409,0.71,0,-1.157,0,1.18,0,,,,,,,,,,,,,,
ABELL_2420,0.757,0,-1.441,0,1.17,0,,,,,,,,,,,,,,
ABELL_2462,,,,,,,,,,,,,,,,,,,,
ABELL_2537,1.122,0,-1.011,0,1.29,0,,,,,,,,,,,,,,
ABELL_2554,,,,,,,,,,,,,,,,,,,,
ABELL_2556,,,,,,,,,,,,,,,,,,,,
ABELL_2589,,,,,,,,,,,,,,,,,,,,
ABELL_2597,1.446,0,-0.63,0,1.99,0,67,29,87,,,,,,,,,67,29,87
ABELL_2626,,,,,,,,,,,,,,,,,,,,
ABELL_2631,0.579,0,-1.566,0,0.88,0,,,,,,,,,,,,,,
ABELL_2657,,,,,,,,,,,,,,,,,,,,
ABELL_2667,0.936,0,-0.729,0,1.35,0,,,,,,,,,,,,,,
ABELL_2717,,,,,,,,,,,,,,,,,,,,
ABELL_2744,0.404,0,-1.224,0,0.91,0,,,,,,,,,,,,,,
ABELL_2813,,,,,,,,,,,,,,,,,,,,
ABELL_3084,,,,,,,,,,,,,,,,,,,,
ABELL_3088,,,,,,,,,,,,,,,,,,,,
ABELL_3112,0.933,0,-0.844,0,1.13,0,,,,,,,,,,,,,,
ABELL_3120,,,,,,,,,,,,,,,,,,,,
ABELL_3158,1.092,0,-1.362,0,1.03,0,,,,,,,,,,,,,,
ABELL_3266,,,,,,,,,,,,,,,,,,,,
ABELL_3364,,,,,,,,,,,,,,,,,,,,
ABELL_3376,,,,,,,,,,,,,,,,,,,,
ABELL_3391,,,,,,,,,,,,,,,,,,,,
ABELL_3395,,,,,,,,,,,,,,,,,,,,
ABELL_3528S,,,,,,,,,,,,,,,,,,,,
ABELL_3558,,,,,,,,,,,,,,,,,,,,
ABELL_3562,,,,,,,,,,,,,,,,,,,,
ABELL_3571,,,,,,,,,,,,,,,,,,,,
ABELL_3581,,,,,,,,,,,,,,,,,,,,
ABELL_3667,,,,,,,,,,,,,,,,,,,,
ABELL_3822,,,,,,,,,,,,,,,,,,,,
ABELL_3827,1.203,0,-1.133,0,1.4,0,,,,,,,,,,,,,,
ABELL_3921,0.883,0,-1.214,0,0.87,0,,,,,,,,,,,,,,
ABELL_4038,,,,,,,,,,,,,,,,,,,,
