#name,ROIout,D_A,asymm(A),asymm_err,clumpy(S),clump_err,concen(C),concen_err
ABELL_2294,0.59839,620.423,,,,,,
ABELL_2319,0.50881,224.969,0.729036375,0,0.669134867,0,2.4372,0
ABELL_2384,0.65721,361.769,0.650112706,0,0.613657702,0,3.7919,0
ABELL_2390,0.55773,758.12,0.13149739,0,0.220420251,0,3.5765,0
ABELL_2409,0.40361,532.953,,,,,,
ABELL_2420,0.68111,327.594,,,,,,
ABELL_2462,0.5041,289.026,,,,,,
ABELL_2537,0.3554,908.095,,,,,,
ABELL_2554,0.59495,414.678,,,,,,
ABELL_2556,0.25196,333.172,0.339398019,0,0.461180342,0,3.5526,0
ABELL_2589,0.11704,169.045,0.573845726,0,0.417986612,0,2.0996,0
ABELL_2597,0.09086,330.386,0.069344754,0,0.073665512,0,2.5644,0
ABELL_2626,0.20681,229.074,0.456621469,0,0.492260975,0,3.2061,0
ABELL_2631,1.0031,870.717,,,,,,
ABELL_2657,0.35239,164.003,0.833166745,0,0.773130005,0,2.8941,0
ABELL_2667,0.40074,757.871,,,,,,
ABELL_2717,0.33074,192.11,,,,,,
ABELL_2744,1.3256,935.549,0.539328933,0,0.398231805,0,2.8687,0
ABELL_2813,0.67167,902.506,,,,,,
ABELL_3084,0.48995,372.645,,,,,,
ABELL_3088,0.78155,814.548,,,,,,
ABELL_3112,0.24739,282.92,0.223066883,0,0.369388106,0,3.7509,0
ABELL_3120,0.1885,272.084,,,,,,
ABELL_3158,0.47754,231.682,0.598118938,0,0.517848332,0,2.5214,0
ABELL_3266,0.19948,235.399,0.593409767,0,0.345947954,0,2.0252,0
ABELL_3364,0.9626,534.156,,,,,,
ABELL_3376,0.45018,184.842,,,,,,
ABELL_3391,0.46321,224.221,0.855923625,0,0.796567733,0,2.3487,0
ABELL_3395,0.20111,205.411,,,,,,
ABELL_3528S,0.12206,212.962,,,,,,
ABELL_3558,0.17141,194.017,0.536170843,0,0.387280676,0,2.2843,0
ABELL_3562,0.14948,197.824,,,,,,
ABELL_3571,0.28599,159.725,,,,,,
ABELL_3581,0.10849,90.922,0.857759135,0,0.642766778,0,3.4139,0
ABELL_3667,0.29788,222.724,0.213339871,0,0.078185314,0,2.1132,0
ABELL_3822,0.54977,296.891,,,,,,
ABELL_3827,0.61858,375.013,,,,,,
ABELL_3921,0.76756,355.615,0.733652606,0,0.654873261,0,2.9011,0
ABELL_4038,0.20133,123.893,0.498021975,0,0.467994065,0,2.9113,0
ABELL_4059,0.22248,192.11,0.203302104,0,0.20230496,0,2.7864,0
ABELL_S0405,0.26217,243.914,,,,,,
ABELL_S0592,0.49451,736.77,,,,,,
AC_114,0.9974,943.834,0.538921603,0,0.487146544,0,2.9371,0
AWM7,0.07918,72.136,0.328780895,0,0.177233002,0,2.23,0
CENTAURUS,0.06374,46.065,0.155627115,0,0.076630036,0,3.3861,0
CID_0072,0.24908,141.317,0.351136681,0,0.406327705,0,3.5504,0
CL_J1226.9+3332,0.85486,1601.738,,,,,,
CYGNUS_A,0.15663,224.595,0.799651312,0,0.215229323,0,3.3712,0
ESO_3060170,0.10865,146.822,,,,,,
ESO_5520200,0.10371,129.457,,,,,,
EXO_0422-086,0.1484,162.06,,,,,,
HCG_0062,0.04983,61.425,0.333121326,0,0.381654842,0,3.6815,0
