Name,RA,Dec,z,z_err,K0,K0_err,K100,K100_err,alpha,Tx,Tx_err,Lbol,Lbol_err,LHa,LHa_err,Lrad,Lrad_err,Rin,Rout,nelec,nelec_err,Kitpl,Kflat,K_err,Pitpl,Pflat,Perr,Mgrav,Mgrav_err,clustemp,clustemp_err,Lambda,tcool5/2,t52err,tcool3/2,t32err,UVSFR,UVerr,IRSFR,IR_err,70SFR,70err,24SFR,24err,BCGmass,BCGmass_err,ROIout,D_A,asymm_v0,asymm_v0_err,clumpy_v0,clump_v0_err,concen_v0,concen_v0_err,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high,name_in_Fraser-McKelvie,BCG_Stellar_Mass,mass_high,mass_low,BCG_SFR,SFR_high,SFR_low,alt_tcool
#,deg,deg,,,keV.cm^2,keV.cm^2,keV.cm^2,keV.cm^2,,keV,keV,10^44erg/s,10^44erg/s,10^40erg/s,10^40erg/s,10^40erg/s,10^40erg/s,Mpc,Mpc,cm^-3,cm^-3,keV.cm^2,keV.cm^2,keV.cm^2,dyne.cm^-2,dyne.cm^-2,dyne.cm^-2,M_dot,M_dot,keV,keV,ergs.cm^3/s,Gyr,Gyr,Gyr,Gyr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,10^10M_dot,10^10M_dot,Mpc,Mpc,,,,,,,,,,,,,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,,10^10M_dot,10^10M_dot,10^10M_dot,M_dot/yr,M_dot/yr,M_dot/yr,Gyr
Abell_68,9.276979167,9.158966667,0.255,0,217.34,89.03,142.31,98.33,0.89,7.99,0,12.8,0,8.3,0,4.34,0,1.96E-02,3.92E-02,0.011182,0.0024254,261.69,261.69,96.559,2.37E-10,2.37E-10,9.55E-11,1.00E+13,2.49E+12,12.02,3.9417,2.90E-23,10.812,4.2509,6.4873,2.5505,,,,,,,,,,,0.64703,817.373,,,,,,,0.882,0,-1.185,0,1.34,0,,,,,,,,,,,,,,,,,,,,,,10.697
Abell_85,10.460025,-9.302997222,0.055061,0.00034,12.5,0.53,158.83,1.87,1.12,6.9,0,5.3,0,0.431,0,4.61,0,2.05E-02,2.56E-02,0.025719,0.00040352,41.432,41.432,1.4296,1.50E-10,1.50E-10,5.48E-12,3.20E+12,7.70E+10,3.8792,0.13625,2.02E-23,2.1789,0.083818,1.3073,0.050291,0.9,0,0.61,0,0.7,0.16,0.36,0.04,6.72,0,0.25077,223.473,0.214443268,0,0.245873901,0,3.3141,0,,,,,,,37,11,37,,,,,,,,,37,11,37,Abell 85,61.8,1.38,1.35,0.59,0.7,0.15,2.642
Abell_119,14.063125,-1.249916667,0.0442,0,233.85,87.65,191.29,102.81,0.75,6.04,0,1.41,0,0.016,0,0.125,0,1.71E-02,2.57E-02,0.0027541,0.00077143,265.09,286.03,58.162,2.32E-11,2.51E-11,7.04E-12,1.10E+12,9.30E+10,5.62,0.6,2.32E-23,25.665,7.6931,15.399,4.6159,0.57,0,,,,,,,,,0.49149,179.465,0.872228044,0,0.78330639,0,1.8889,0,,,,,,,,,,,,,,,,,,,,,Abell 119,38.9,0.85,0.83,0.24,0.29,0.06,29.697
Abell_133,15.67398333,-21.88049722,0.0566,0,17.26,0.49,170.12,4.15,1.59,3.71,0,0.828,0,0.653,0,0.203,0,2.05E-02,2.56E-02,0.017686,0.00043034,35.319,35.319,1.2283,6.87E-11,6.87E-11,2.69E-12,1.75E+12,3.95E+10,2.631,0.083759,2.04E-23,2.1336,0.085492,1.2802,0.051296,0.69,0,,,,,,,,,0.13818,223.473,0.201734497,0,0.243837629,0,3.4304,0,,,,,,,620,20,260,,,,,,,,,620,20,260,RXCJ0102.7-2152,44.4,0.97,0.95,0.76,0.9,0.19,3.164
Abell_141,16.39327083,-24.63299444,0.23,0,205.03,27.44,42.56,20.75,1.78,5.31,0,,,,,3.44,0,1.82E-02,3.63E-02,0.005612,0.0018776,141.89,193.16,45.902,9.78E-11,1.33E-10,9.58E-11,-2.84E+12,-4.87E+11,6.1,1.05,1.84E-23,17.211,6.4756,10.327,3.8854,,,,,,,,,,,1.0902,757.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.183
Abell_160,18.25288333,15.48752222,0.0447,0,155.78,27.67,116.26,29.25,0.98,2.7,0,,,0.213,0,0.102,0,2.17E-02,2.60E-02,0.0021759,0.00046216,179.93,179.93,27.607,1.07E-11,1.07E-11,2.35E-12,7.88E+11,3.42E+10,2.7374,0.18665,1.62E-23,22.737,5.072,13.642,3.0432,0.4,0,,,,,,,,,0.41577,181.387,0.848863444,0,0.752117234,0,2.1468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.233
Abell_193,21.28191667,8.699188889,0.048587,0.00029,185.46,13.3,35.96,16.81,2.23,2.5,0,,,0.251,0,1.56,0,1.87E-02,2.34E-02,0.0050615,0.00061086,185.98,185.98,29.758,1.08E-10,1.08E-10,4.75E-11,5.58E+11,5.66E+10,5.0616,0.59377,1.99E-23,14.665,2.4682,8.7988,1.4809,,,,,,,,,,,0.19181,195.922,0.723783456,0,0.645812406,0,2.1227,0,,,,,,,,,,,,,,,,,,,,,Abell 193,43,0.94,0.92,0.3,0.36,0.08,15.335
Abell_209,22.96902083,-13.610775,0.206,0,105.5,26.94,149.31,35.16,0.8,8.28,0,11,0,,,3.38,0,1.60E-02,3.20E-02,0.011879,0.00015394,137.03,142.14,18.286,1.37E-10,1.42E-10,1.84E-11,2.21E+12,2.16E+11,7.4,0.95,2.28E-23,7.9618,1.0273,4.7771,0.61639,,,2.04,0,,,0.91,0.12,7.91,0,0.59214,696.481,,,,,,,0.738,0,-1.32,0,0.99,0,,,,,,,,,,,,,,,,,,,,,,7.901
Abell_222,24.39400833,-12.99302222,0.213,0,126.02,15.01,82.25,18.98,1,4.6,0,10.5,0,5.62,0,2.66,0,1.64E-02,3.29E-02,0.0049036,0.00037938,142.57,145.52,17.867,3.27E-11,3.34E-11,4.51E-12,1.26E+12,1.05E+11,4.2,0.47,1.87E-23,13.406,1.8238,8.0436,1.0943,,,,,,,,,,,0.70631,714.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.419
Abell_223,24.48317917,-12.81959167,0.207,0,183.87,46.09,160.65,59.23,1.24,5.28,0,11.2,0,5.29,0,19.8,0,1.68E-02,3.35E-02,0.0043547,0.0013774,211.42,211.42,51.42,3.98E-11,3.98E-11,1.35E-11,3.56E+12,3.16E+11,5.5532,0.7181,2.16E-23,17.25,5.8948,10.35,3.5369,,,,,,,,,,,0.77063,699.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.669
