Name,RA,Dec,z,z_err,K0,K0_err,K100,K100_err,alpha,Tx,Tx_err,Lbol,Lbol_err,LHa,LHa_err,Lrad,Lrad_err,Rin,Rout,nelec,nelec_err,Kitpl,Kflat,K_err,Pitpl,Pflat,Perr,Mgrav,Mgrav_err,clustemp,clustemp_err,Lambda,tcool5/2,t52err,tcool3/2,t32err,UVSFR,UVerr,IRSFR,IR_err,70SFR,70err,24SFR,24err,BCGmass,BCGmass_err,ROIout,D_A,asymm_v0,asymm_v0_err,clumpy_v0,clump_v0_err,concen_v0,concen_v0_err,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high,name_in_Fraser-McKelvie,BCG_Stellar_Mass,mass_high,mass_low,BCG_SFR,SFR_high,SFR_low,alt_tcool
#,deg,deg,,,keV.cm^2,keV.cm^2,keV.cm^2,keV.cm^2,,keV,keV,10^44erg/s,10^44erg/s,10^40erg/s,10^40erg/s,10^40erg/s,10^40erg/s,Mpc,Mpc,cm^-3,cm^-3,keV.cm^2,keV.cm^2,keV.cm^2,dyne.cm^-2,dyne.cm^-2,dyne.cm^-2,M_dot,M_dot,keV,keV,ergs.cm^3/s,Gyr,Gyr,Gyr,Gyr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,M_dot/yr,10^10M_dot,10^10M_dot,Mpc,Mpc,,,,,,,,,,,,,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,10^42erg/s,,10^10M_dot,10^10M_dot,10^10M_dot,M_dot/yr,M_dot/yr,M_dot/yr,Gyr
Abell_496,68.40849167,-13.26101389,0.0329,0,8.91,0.66,216.33,10.45,1.27,3.89,0,0.575,0,0.718,0,3.27,0,1.85E-02,2.16E-02,0.020525,0.00098446,39.652,39.652,3.0635,9.88E-11,9.88E-11,8.41E-12,2.10E+12,1.08E+11,2.9991,0.21239,1.91E-23,2.2296,0.1907,1.3377,0.11442,,,,,,,,,,,0.08034,135.002,0.296530553,0,0.258178944,0,2.811,0,,,,,,,,,,,,,,,,,,,,,Abell 496,35.8,0.78,0.76,0.18,0.22,0.05,2.911
Abell_520,73.54292917,2.9268,0.199,0,325.54,29.22,10.22,11.8,2.09,7.4,0,13.1,0,5.01,0,3.24,0,1.64E-02,3.29E-02,0.0035261,0.0014073,313.78,313.78,94.975,4.15E-11,4.15E-11,1.76E-11,2.02E+12,2.14E+11,7.1278,0.98994,2.29E-23,25.822,10.912,15.493,6.5471,,,,,,,,,,,0.76915,685.915,0.582924348,0,0.46997926,0,2.2009,0,0.346,0,-1.625,0,1.19,0,,,,,,,,,,,,,,,,,,,,,,26.122
Abell_521,73.52640417,-10.22135556,0.2533,0,259.87,36.25,245.43,61.81,1.91,6.74,0,9.85,0,,,4.29,0,1.95E-02,3.91E-02,0.0038055,0.00024352,229.5,289.23,42.976,3.45E-11,4.35E-11,6.66E-12,1.74E+12,2.33E+11,7.05,1.02,2.25E-23,24.082,3.8098,14.449,2.2859,,,,,,,,,,,0.80086,814.312,,,,,,,0.42,0,-1.528,0,1.03,0,,,,,,,,,,,,,,,,,,,,,,24.071
Abell_539,79.1555625,6.440327778,0.0284,0,22.59,4.49,493.32,165.56,1.05,3.24,0,1.82,0,,,0.041,0,1.99E-02,2.27E-02,0.0037963,0.00095688,117.49,122.45,21.231,1.76E-11,1.83E-11,4.58E-12,4.42E+12,2.15E+11,3.0596,0.20648,1.70E-23,13.848,3.6135,8.3091,2.1681,0.15,0.04,,,,,,,,,0.31386,119.109,0.79069453,0,0.728207897,0,2.4012,0,,,,,,,,,,,,,,,,,,,,,Abell 539,11.3,0.23,0.23,0.25,0.3,0.06,15.896
Abell_562,103.3396833,69.33088611,0.11,0,202.06,39.29,34.61,45.25,1.09,3.04,0,2.14,0,,,0.677,0,1.98E-02,2.97E-02,0.0026563,0.00084463,216.27,216.27,49.538,1.79E-11,1.79E-11,5.88E-12,1.54E+12,9.83E+10,3.7127,0.40442,1.85E-23,22.07,7.418,13.242,4.4508,,,,,,,,,,,0.33336,413.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.026
Abell_576,110.3766417,55.76165278,0.0389,0,95.29,15.44,221.21,31.54,1.41,4.09,0,0.47,0,0.157,0,0.094,0,1.88E-02,2.25E-02,0.0063756,0.00107,109.36,114.88,14.233,3.88E-11,4.08E-11,7.01E-12,4.18E+11,2.04E+10,4.0498,0.25208,2.00E-23,9.2518,1.6561,5.5511,0.99365,,,,,,,,,,,0.17923,157.386,0.507851729,0,0.356569728,0,2.0605,0,,,,,,,,,,,,,,,,,,,,,Abell 576 (affected by star),,,,,,,10.89
Abell_586,113.0847458,31.63294167,0.171,0,94.75,19.22,92.06,25.54,1.25,8.7,0,8.61,0,3.5,0,4.91,0,1.44E-02,2.88E-02,0.019841,0.0023626,101.26,101.26,13.603,2.39E-10,2.39E-10,3.84E-11,-5.37E+12,-4.27E+11,7.2689,0.81148,2.31E-23,4.6391,0.75722,2.7835,0.45433,,,,,,,,,,,0.33077,600.624,,,,,,,0.996,0,-1.077,0,1.07,0,,,,,,,,,,,,,,,,,,,,,,4.688
Abell_611,120.2368,36.05669167,0.288,0,124.93,18.61,164.35,31.45,1.25,6.69,0,10.9,0,10.9,0,7.26,0,2.14E-02,4.29E-02,0.00842,0.00046771,170.89,170.89,22.007,9.65E-11,9.65E-11,1.31E-11,6.91E+12,6.25E+11,6.9849,0.90169,2.36E-23,10.261,1.442,6.1564,0.86519,,,,,,,,,,,0.68594,892.971,,,,,,,0.876,0,-0.918,0,1.19,0,,,,,,,,,,,,,,,,,,,,,,10.829
Abell_644,124.3551042,-7.511119444,0.0704,0,132.36,9.15,85.91,11.68,1.55,6.6,0,7.61,0,0.346,0,0.325,0,1.97E-02,2.63E-02,0.010988,0.0016035,157.43,157.43,20.927,1.38E-10,1.38E-10,2.38E-11,1.27E+12,8.43E+10,7.3914,0.62852,2.44E-23,8.0608,1.3615,4.8365,0.81691,0.33,0,,,,,,,,,0.5111,274.981,0.456757303,0,0.465975709,0,3.1019,0,0.549,0,-1.08,0,1.14,0,,,,,,,,,,,,,,,Abell 644,28.4,0.61,0.6,0.2,0.24,0.05,8.536
Abell_665,127.746775,65.83890556,0.1819,0,134.57,23.45,106.34,25.14,1.06,8.3,0,13.5,0,3.96,0,2.53,0,1.51E-02,3.01E-02,0.010238,0.0019002,160.96,160.96,29.094,1.26E-10,1.26E-10,2.87E-11,-6.27E+11,-6.06E+10,7.5763,1,2.35E-23,9.1953,2.0942,5.5172,1.2565,,,,,,,,,,,0.86895,628.81,0.737640005,0,0.597581466,0,3.0744,0,0.213,0,-1.36,0,0.76,0,,,,,,,,,,,,,,,,,,,,,,9.275
Abell_697,130.7397875,36.36601389,0.282,0,166.67,24.45,108.16,29.13,1.1,9.06,0,26.3,0,10.4,0,6.92,0,2.03E-02,4.05E-02,0.010557,0.00030292,204.69,209.66,33.064,1.68E-10,1.73E-10,2.75E-11,9.49E+12,1.12E+12,10.09,1.58,2.83E-23,9.8482,1.5678,5.9089,0.94069,4.17,0,13.33,0,,,1.58,0.16,13.7,0,0.80997,879.813,,,,,,,1.164,0,-1.143,0,1.33,0,,,,,,,,,,,,,,,,,,,,,,10.381
Abell_744,136.8352292,16.65171667,0.0729,0,63.42,10.17,229.33,15.24,0.79,2.5,0,0.891,0,6.49,0,0.282,0,2.05E-02,2.74E-02,0.0040922,0.00027538,129.48,137.19,10.056,2.20E-11,2.33E-11,2.03E-12,2.09E+12,9.73E+10,3.51,0.21,1.90E-23,13.154,1.1844,7.8921,0.71064,0.65,0,,,,,,,,,0.21878,286.156,,,,,,,0.859,0,-0.989,0,0.99,0,,,,,,,,,,,,,,,,,,,,,,15.795
Abell_754,137.3257833,-9.685988889,0.0542,0,270.39,23.78,69.67,26.5,1.48,9.94,0,33.1,0,0.219,0,0.192,0,2.08E-02,2.60E-02,0.0048821,0.0013283,321.61,321.61,71.807,7.32E-11,7.32E-11,2.21E-11,2.06E+12,1.96E+11,8.2612,0.97328,2.49E-23,19.826,5.8781,11.895,3.5269,,,,,,,,,,,0.3954,217.851,0.529350435,0,0.230652203,0,2.3032,0,,,,,,,,,,,,,,,,,,,,,Abell 754,44.4,0.97,0.95,0.23,0.27,0.06,20.311
Abell_773,139.469025,51.72727222,0.217,0,244.32,31.73,41.1,22.52,1.6,8.53,0,13,0,5.86,0,3.8,0,1.74E-02,3.48E-02,0.0071385,0.0023063,273.02,273.02,73.781,1.17E-10,1.17E-10,4.24E-11,-3.85E+12,-4.61E+11,9.4053,1.4988,2.67E-23,14.414,5.1927,8.6486,3.1156,,,3.64,0,,,1.25,0.16,8.17,0,1.0079,725.04,,,,,,,1.031,0,-1.19,0,1.26,0,,,,,,,,,,,,,,,,,,,,,,14.822
Abell_907,149.5914417,-11.06409167,0.1527,0,23.38,3.22,187.01,8.11,1.05,5.04,0,6.26,0,,,47.7,0,2.62E-02,3.93E-02,0.01253,0.00026661,86.168,86.168,6.602,9.44E-11,9.44E-11,7.38E-12,6.80E+12,3.75E+11,4.6811,0.35578,2.09E-23,5.2238,0.41229,3.1343,0.24737,,,,,,,,,,,0.81219,547.316,0.165700916,0,0.382522313,0,4.3146,0,1.057,0,-0.859,0,1.24,0,,,,,,,,,,,,,,,,,,,,,,5.957
Abell_963,154.2656,39.04699167,0.206,0,55.77,12.86,169.12,20.27,0.9,6.6,0,10.7,0,5.21,0,3.37,0,1.67E-02,3.33E-02,0.013669,0.0013926,92.632,110.03,12.995,1.17E-10,1.39E-10,1.87E-11,5.68E+12,5.11E+11,6.29,0.65,2.37E-23,5.6636,0.82189,3.3982,0.49313,2.7,0,,,,,,,,,0.61824,695.429,0.329079364,0,0.43658851,0,3.5073,0,1.147,0,-0.921,0,1.32,0,,,,,,,,,,,,,,,,,,,,,,6.33
Abell_1060,159.17845,-27.52835,0.0126,0,72,5.2,178.34,100.88,1.25,3.2,0,0.012,0,,,0.01,0,2.01E-02,2.14E-02,0.0065835,0.00054719,102.21,102.21,9.5475,9.19E-11,9.19E-11,2.47E-11,1.08E+12,5.95E+10,3.5423,0.2708,1.93E-23,8.1193,0.91689,4.8716,0.55014,0.1,0,,,,,,,,,0.05611,52.724,0.589242148,0,0.432737961,0,1.9146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.863
Abell_S1063,342.1845583,-44.53010278,0.3475,0,169.59,19.67,42.21,17.72,1.72,11.1,0,71.5,0,,,21.1,0,2.47E-02,4.94E-02,0.023239,0.0015212,189.48,189.48,30.533,5.81E-10,5.81E-10,9.78E-11,1.04E+13,1.18E+12,13.107,2.0803,3.07E-23,5.3596,0.92015,3.2158,0.55209,,,0.4,0,,,0.82,0.13,17.78,0,1.0116,1026.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
Abell_1068,160.1855,39.95285556,0.1375,0,9.11,1.03,108.8,3.24,1.31,3.87,0,4.77,0,226,0,12.8,0,2.40E-02,3.60E-02,0.03086,0.00066023,33.618,33.618,2.3386,3.97E-10,3.97E-10,6.80E-11,5.19E+12,2.59E+11,3.3486,0.22681,1.82E-23,1.7386,0.1235,1.0432,0.074097,2.6,0.6,93.15,0,159.87,32.12,119.39,11.94,6.08,0,0.44977,501.275,0.177433375,0,0.428590213,0,4.4498,0,1.05,0,-0.688,0,1.51,0,20,0,0,,,,,,,,,20,0,0,,,,,,,,2.046
Abell_1201,168.2270375,13.43576667,0.1688,0,64.81,16.87,198.94,25.18,1.03,6.9,0,4.08,0,3.41,0,2.17,0,1.42E-02,2.85E-02,0.011579,0.001413,68.614,102.57,12.457,6.59E-11,9.85E-11,1.34E-11,2.03E+12,2.42E+11,5.25,0.57,1.96E-23,6.7463,1.1019,4.0478,0.66114,,,,,,,,,,,0.47671,594.335,0.533226994,0,0.449484075,0,2.5778,0,0.488,0,-1.074,0,1.08,0,,,,,,,,,,,,,,,,,,,,,,6.827
Abell_1204,168.3350792,17.59401389,0.1706,0,15.31,1.42,81.83,3.64,1.4,3.78,0,3.98,0,6.38,0,2.22,0,1.38E-02,2.75E-02,0.052448,0.0017018,23.409,23.409,1.5203,2.79E-10,2.79E-10,1.93E-11,2.09E+12,9.38E+10,3.3596,0.20768,1.85E-23,1.0091,0.070448,0.60544,0.042269,0.76,0,4.44,0,8.1,1.68,3.72,0.4,4.27,0,0.3441,599.483,,,,,,,1.171,0,-0.558,0,1.2,0,,,,,,,,,,,,,,,,,,,,,,1.206
Abell_1240,170.9098208,43.09675833,0.159,0,462.4,41.66,8.27,18.17,2.37,4.77,0,,,,,1.51,0,1.36E-02,2.71E-02,0.00092011,0.00026394,424.48,457.71,112.73,5.99E-12,6.45E-12,2.04E-12,2.33E+10,3.15E+09,4.33,0.74,1.66E-23,82.515,27.552,49.509,16.531,,,,,,,,,,,0.82637,565.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.023
Abell_1361,175.9151542,46.35566944,0.1171,0,18.64,4.9,117.86,10.53,1.06,4.08,0,2.39,0,7.75,0,267,0,2.09E-02,3.13E-02,0.016011,0.0010739,40.863,48.485,5.8047,6.73E-11,7.99E-11,1.01E-11,3.05E+12,3.01E+11,3.08,0.35,1.62E-23,3.4578,0.45628,2.0747,0.27377,,,3.21,0,2.06,0.44,0.73,0.08,4.94,0,0.15671,436.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.782
Abell_1413,178.8245542,23.40606667,0.1427,0,64.03,8.33,123.19,12.99,1.19,8.9,0,10.2,0,2.38,0,1.6,0,2.37E-02,3.56E-02,0.017531,0.00041935,89.969,90.687,7.6923,1.72E-10,1.74E-10,1.51E-11,6.08E+12,3.75E+11,6.5444,0.66313,2.37E-23,4.6022,0.47915,2.7613,0.28749,2.32,0,,,,,,,,,0.37955,516.906,0.240819865,0,0.280004364,0,2.9965,0,1.333,0,-0.981,0,1.71,0,,,,,,,,,,,,,,,,,,,,,,5.034
Abell_1423,179.3219292,33.6104,0.213,0,68.32,68.32,124.17,12.85,1.2,8.5,0,7.07,0,5.62,0,4.6,0,1.71E-02,3.43E-02,0.01411,0.00078606,82.669,92.821,14.542,1.10E-10,1.24E-10,1.99E-11,2.63E+12,3.31E+11,5.42,0.83,2.11E-23,5.322,0.86724,3.1932,0.52034,,,,,,,,,,,0.85648,714.739,,,,,,,0.9,0,-1.024,0,0.85,0,,,,,,,,,,,,,,,Abell 1423,5.6,0.67,0.66,0,0.49,0.11,5.692
Abell_1446,180.5156,58.03831389,0.1035,0,152.38,43.81,119.5,49.55,0.67,4,0,,,,,0.594,0,1.88E-02,2.81E-02,0.0037235,0.000912,224.12,224.12,43.948,3.25E-11,3.25E-11,8.70E-12,2.39E+12,1.90E+11,4.8142,0.52587,2.10E-23,18.001,4.8277,10.801,2.8966,0.76,0,,,,,,,,,0.53441,392.149,0.683463072,0,0.551218695,0,2.4521,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33
Abell_1569,189.1083958,16.53828056,0.0735,0,110.1,27.79,149.14,28.89,0.51,2.51,0,,,,,0.287,0,2.07E-02,2.76E-02,0.0021117,0.00037637,219.43,219.43,29.788,1.24E-11,1.24E-11,2.35E-12,7.21E+11,3.47E+10,3.1818,0.25243,1.53E-23,28.776,5.6142,17.266,3.3685,0.36,0,,,,,,,,,0.42019,288.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.142
Abell_1576,189.2428083,63.18718889,0.279,0,186.24,49.11,98.35,47.6,1.38,8.65,0,31.6,0,,,39.4,0,2.10E-02,4.19E-02,0.0088801,0.0022271,202.87,213.14,65.244,3.00E-10,3.16E-10,2.68E-10,-2.75E+12,-5.53E+11,9.14,2.39,2.46E-23,12.199,4.4198,7.3192,2.6519,,,,,,,,,,,1.0478,873.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.746
Abell_1644,194.2986042,-17.40912778,0.0473,0,19.03,1.16,585.67,81.85,1.76,4.6,0,,,0.522,0,5.63,0,1.82E-02,2.28E-02,0.0094602,0.0005219,55.891,55.891,3.9333,3.83E-11,3.83E-11,3.12E-12,2.25E+12,9.89E+10,2.7749,0.17749,1.94E-23,4.4188,0.37324,2.6513,0.22395,0.63,0,,,,,,,,,0.29352,190.582,0.49236086,0,0.339742858,0,4.133,0,,,,,,,,,,,,,,,,,,,,,Abell 1644,62,1.02,1,0.55,0.22,0.05,6.075
Abell_1650,194.6729125,-1.762311111,0.083838,0.000183,37.96,9.95,159.89,12.1,0.84,5.89,0,4.37,0,0.05,0,0.484,0,2.34E-02,3.12E-02,0.01546,0.00098081,85.381,85.381,11.754,1.33E-10,1.33E-10,1.93E-11,3.66E+12,3.52E+11,5.3461,0.73652,2.18E-23,4.6409,0.7039,2.7845,0.42234,,,,,,,,,,,0.27938,326.546,0.306761051,0,0.342380332,0,2.9351,0,0.857,0,-1.034,0,1.15,0,,,,,,,,,,,,,,,Abell 1650,27.6,0.53,0.52,0.03,0.12,0.03,5.16
Abell_1651,194.845125,-4.196072222,0.084945,0.00019,89.46,11.07,115.53,15.16,0.97,7,0,6.71,0,0.781,0,0.852,0,2.24E-02,2.98E-02,0.008829,0.00048251,155.51,156.84,18.895,9.50E-11,9.58E-11,1.22E-11,2.83E+12,2.41E+11,6.7,0.77,2.43E-23,9.1215,1.1608,5.4729,0.69647,,,,,,,,,,,0.29836,325.497,,,,,,,0.982,0,-1.133,0,1.15,0,,,,,,,,,,,,,,,Abell 1651,46.3,0.69,0.67,0.19,0.1,0.02,10.115
Abell_1664,195.9275917,-24.24488611,0.128315,0.00032,14.4,0.98,141.84,6.05,1.7,3.5,0,3.15,0,,,17.1,0,2.25E-02,3.38E-02,0.021167,0.00035835,36.187,36.187,2.5164,9.50E-11,9.50E-11,6.71E-12,3.10E+12,1.56E+11,2.7629,0.19,1.77E-23,2.156,0.15269,1.2936,0.091612,16.13,0.27,10,0,11.53,3.12,5.8,0.58,4.9,0,0.40509,470.395,0.197726373,0,0.381968867,0,4.1383,0,0.67,0,-0.717,0,0.81,0,,,,,,,,,,,,,,,,,,,,,,2.709
Abell_1689,197.8733833,-1.341302778,0.1832,0,78.44,7.56,111.77,13.83,1.35,10.1,0,28.1,0,0.28,0,2.64,0,1.53E-02,3.06E-02,0.0335,0.0010742,92.133,92.133,8.0784,5.20E-10,5.20E-10,4.72E-11,2.42E+12,1.51E+11,9.135,0.8496,2.70E-23,2.9463,0.28985,1.7678,0.17391,,,10.88,0,0.82,0,2.17,0.22,6.27,0,0.91681,637.969,0.193761265,0,0.407164148,0,3.9,0,1.298,0,-0.836,0,1.4,0,,,,,,,,,,,,,,,,,,,,,,3.113
Abell_1736,201.7060542,-27.16336944,0.0458,0,150.35,38.25,127.25,37.91,0.99,3.45,0,3.47,0,0.007,0,0.072,0,1.99E-02,2.65E-02,0.0030701,0.00063281,177.36,177.36,27.973,1.86E-11,1.86E-11,4.10E-12,9.89E+11,5.61E+10,3.588,0.29,1.62E-23,21.097,4.6709,12.658,2.8026,0.23,0,,,,,,,,,0.27198,138.952,0.87910509,0,0.792944945,0,1.9768,0,,,,,,,,,,,,,,,,,,,,,Abell 1736,27.1,0.6,0.58,0.15,0.17,0.04,21.286
Abell_1758,203.2016583,50.54236944,0.279,0,230.84,37.22,144.04,50.23,1.21,7.95,0,21.1,0,10.2,0,6.76,0,2.01E-02,4.02E-02,0.0051292,0.00016112,179.67,271.33,43.871,4.44E-11,6.71E-11,1.09E-11,3.30E+12,5.89E+11,8.07,1.3,2.39E-23,19.225,3.1553,11.535,1.8932,,,3.28,0,,,0.93,0.13,8.51,0,0.70369,873.61,0.626124488,0,0.391144995,0,2.067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.108
Abell_1763,203.8248208,40.99883333,0.223,0,214.69,32.84,70.8,29.05,1.37,6.9,0,9.33,0,4.22,0,2.71,0,1.54E-02,3.09E-02,0.006234,0.0023011,258.96,258.96,69.753,8.86E-11,8.86E-11,3.41E-11,-2.13E+12,-1.71E+11,8.4758,1.0383,2.48E-23,15.977,6.2136,9.5861,3.7281,1.06,0,7.68,0,2.26,0,1.14,0.34,4.18,0,0.9985,644.311,,,,,,,0.686,0,-1.223,0,0.83,0,,,,,,,,,,,,,,,,,,,,,,16.112
Abell_1795,207.2200083,26.589875,0.062476,0.000294,18.99,1.05,130.38,2.77,1.18,7.8,0,7.81,0,8.77,0,95.2,0,2.27E-02,2.83E-02,0.026506,0.00036361,45.091,45.091,2.6833,1.72E-10,1.72E-10,1.04E-11,2.89E+12,1.24E+11,3.994,0.24301,1.95E-23,2.2588,0.14088,1.3553,0.08453,2.39,0.2,,,,,,,,,0.37941,248.339,0.174163149,0,0.282930966,0,3.5662,0,0.78,0,-0.856,0,1.39,0,160,50,230,,,,,,,,,160,50,230,Abell 1795,30.4,0.32,0.32,0.54,0.01,0,2.601
Abell_1835,210.2581292,2.878661111,0.2532,0,11.44,2.47,111.71,7.91,1.26,7.65,0,39.6,0,504,0,84.9,0,1.87E-02,3.75E-02,0.080362,0.00057896,28.675,28.675,2.8923,6.95E-10,6.95E-10,7.02E-11,4.05E+12,2.99E+11,4.9553,0.44767,2.01E-23,0.89498,0.081111,0.53699,0.048666,23.56,1.07,235.37,0,134.96,27.86,97.17,9.72,15.03,0,0.5992,814.077,0.107111583,0,0.397616994,0,4.5165,0,1.16,0,-0.636,0,1.56,0,1800,600,1900,,,,,,,,,1800,600,1900,,,,,,,,0.956
Abell_1914,216.51275,37.8244,0.1712,0,107.16,18.04,131.15,28.3,1.05,10.5,0,26.4,0,3.51,0,2.24,0,1.38E-02,2.76E-02,0.017262,0.00031316,104.06,132.05,18.309,1.94E-10,2.47E-10,3.43E-11,7.22E+11,9.29E+10,8.82,1.22,2.68E-23,5.5706,0.77714,3.3424,0.46628,0.58,0,0.35,0,,,0.31,0.04,3.89,0,0.49693,601.194,0.577614511,0,0.451247835,0,2.6242,0,0.518,0,-1.07,0,1.26,0,,,,,,,,,,,,,,,,,,,,,,5.936
Abell_1942,219.5911583,3.670269444,0.224,0,107.73,77.72,194.08,88.68,0.66,5.12,0,2.3,0,6.28,0,1220,0,1.78E-02,3.56E-02,0.0062395,0.0009614,190.25,190.25,33.41,6.52E-11,6.52E-11,1.37E-11,5.18E+12,5.41E+11,6.1213,0.9133,2.24E-23,12.809,2.7473,7.6855,1.6484,,,,,,,,,,,0.99722,742.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68
Abell_1991,223.63175,18.64485556,0.0587,0,1.53,0.32,152.21,4.17,1.09,5.4,0,0.451,0,0.596,0,3.25,0,2.16E-02,2.70E-02,0.013808,0.00049399,37.422,37.422,2.0489,4.82E-11,4.82E-11,2.93E-12,2.61E+12,9.42E+10,2.1919,0.11112,1.95E-23,2.374,0.1473,1.4244,0.088382,0.56,0,,,,,,,,,0.19979,234.285,0.22489264,0,0.387752573,0,4.0085,0,,,,,,,,,,,,,,,,,,,,,Abell 1991,31.9,1.18,1.15,0.3,0.37,0.08,3.699
Abell_1995,223.2392083,58.04912222,0.3186,0,374.35,60.08,26.81,32.93,2.08,8.6,0,10.3,0,,,7.29,0,2.30E-02,4.60E-02,0.0048736,0.00030777,423.99,423.99,133.97,9.62E-11,9.62E-11,3.07E-11,8.18E+12,1.88E+12,10.704,3.0336,2.78E-23,23.038,6.6894,13.823,4.0137,2.36,0,,,,,,,,,0.98881,957.34,,,,,,,0.974,0,-1.083,0,1.45,0,,,,,,,,,,,,,,,,,,,,,,23.16
Abell_2029,227.7339125,5.744575,0.07728,0.00056,10.5,0.67,163.58,2.12,0.95,7.38,0,15.6,0,0.643,0,82.2,0,2.06E-02,2.74E-02,0.03757,0.00021012,55.917,55.917,2.5759,3.82E-10,3.82E-10,1.77E-11,5.47E+12,1.84E+11,6.2461,0.28386,2.39E-23,2.0337,0.09312,1.2202,0.055872,1.72,0,,,,,,,,,0.50015,299.029,0.086967109,0,0.163227738,0,3.6278,0,1.2,0,-0.79,0,1.19,0,87,4,49,,,,,,,,,87,4,49,Abell 2029,114.4,0.5,0.49,0.8,0.17,0.04,2.295
Abell_2034,227.552075,33.51099167,0.113,0,232.64,23.04,85.07,22.58,1.14,7.15,0,6.5,0,1.45,0,0.904,0,2.33E-02,3.50E-02,0.0054132,0.00075108,227.54,240.03,31.199,6.15E-11,6.49E-11,1.06E-11,2.57E+12,1.91E+11,7.4,0.71,2.38E-23,16.743,2.8245,10.046,1.6947,,,,,,,,,,,0.89347,423.524,0.618669664,0,0.525810067,0,2.9767,0,1.029,0,-1.653,0,1.07,0,,,,,,,,,,,,,,,,,,,,,,17.337
Abell_2052,229.185475,7.021394444,0.035491,0.0003,9.45,0.66,164.72,2.59,1.25,2.98,0,5.13,0,1.38,0,174,0,2.08E-02,2.42E-02,0.018396,0.00024779,38.678,38.678,1.2361,8.03E-11,8.03E-11,2.69E-12,1.77E+12,3.98E+10,2.6499,0.082876,1.90E-23,2.2129,0.075357,1.3278,0.045214,0.41,0,0.34,0,0.54,0.11,0.47,0.05,4.89,0,0.12345,144.858,0.158256947,0,0.105196963,0,3.1697,0,,,,,,,150,70,200,,,,,,,,,150,70,200,Abell 2052,31.6,1.02,1,0.37,2.47,0.53,3.053
Abell_2063,230.7702125,8.6056,0.034937,0.00026,53.51,2.6,129.01,3.92,1.07,3.61,0,4.27,0,0.13,0,0.455,0,2.06E-02,2.41E-02,0.010232,0.00026356,74.749,74.749,4.1915,5.84E-11,5.84E-11,3.46E-12,1.05E+12,4.12E+10,3.506,0.19932,1.94E-23,5.1473,0.32127,3.0884,0.19276,0.31,0,,,,,,,,,0.28889,144.072,0.625354551,0,0.597354107,0,2.86,0,,,,,,,,,,,,,,,,,,,,,Abell 2063,23.2,1.05,1.02,0.14,0.46,0.1,6.313
Abell_2065,230.6229875,27.70636944,0.0726,0,43.95,6.48,195.29,10.59,1.02,5.35,0,2.95,0,0.584,0,0.357,0,2.05E-02,2.74E-02,0.0094809,0.0010958,88.453,94.206,10.201,6.09E-11,6.48E-11,8.76E-12,3.51E+12,2.21E+11,4.2895,0.35418,1.98E-23,6.6586,0.94583,3.9952,0.5675,0.35,0,,,,,,,,,0.54079,286.515,,,,,,,0.514,0,-1.119,0,0.7,0,,,,,,,,,,,,,,,Abell 2065,17.9,0.37,0.36,0.03,0.04,0.01,7.537
Abell_2069,231.0474,29.87195,0.116,0,453.25,35.63,54.57,36.31,1.47,7.9,0,3.86,0,1.54,0,0.957,0,2.07E-02,3.11E-02,0.001786,0.00022658,397.74,423.9,65.656,1.69E-11,1.81E-11,3.22E-12,1.43E+12,1.48E+11,6.24,0.83,2.21E-23,46.171,8.4867,27.703,5.092,,,,,,,,,,,0.49738,433.287,0.699404506,0,0.52641726,0,1.8889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.254
Abell_2104,235.0338792,-3.304172222,0.153349,0.000347,160.61,42.16,210.1,53.93,1.2,9.31,0,6.98,0,2.85,0,1.81,0,2.55E-02,3.82E-02,0.0071158,0.0004435,200.65,228.14,43.249,8.56E-11,9.73E-11,1.89E-11,8.55E+12,1.33E+12,8.5106,1.5958,2.38E-23,14.651,2.895,8.7907,1.737,,,,,,,,,,,0.34414,555.325,0.39122389,0,0.292311012,0,2.2357,0,1.462,0,-1.261,0,1.63,0,,,,,,,,,,,,,,,,,,,,,,14.144
