NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 127.74677, 65.83891| 0.051 | 0.049    | 4.31e+20 | 4.33e+20 | 7.81e+19 | 7.46e+19 | 5.10e+20 | 5.07e+20 |
J 130.73979, 36.36601| 0.036 | 0.036    | 2.90e+20 | 2.93e+20 | 3.54e+19 | 3.56e+19 | 3.26e+20 | 3.28e+20 |
J 136.83523, 16.65172| 0.036 | 0.036    | 3.56e+20 | 3.43e+20 | 4.38e+19 | 4.22e+19 | 3.99e+20 | 3.85e+20 |
J 137.32578, -9.68599| 0.055 | 0.058    | 4.69e+20 | 4.84e+20 | 9.27e+19 | 1.02e+20 | 5.62e+20 | 5.85e+20 |
J 139.46903, 51.72727| 0.015 | 0.015    | 1.26e+20 | 1.28e+20 | 5.51e+18 | 5.59e+18 | 1.32e+20 | 1.34e+20 |
J 149.59144, -11.06409| 0.062 | 0.061    | 5.34e+20 | 5.45e+20 | 1.20e+20 | 1.22e+20 | 6.55e+20 | 6.67e+20 |
J 154.26560, 39.04699| 0.015 | 0.015    | 1.27e+20 | 1.25e+20 | 5.35e+18 | 5.40e+18 | 1.32e+20 | 1.30e+20 |
J 159.17845, -27.52835| 0.070 | 0.072    | 4.79e+20 | 4.90e+20 | 1.22e+20 | 1.27e+20 | 6.00e+20 | 6.18e+20 |
J 342.18456, -44.53010| 0.012 | 0.012    | 1.23e+20 | 1.24e+20 | 4.08e+18 | 4.09e+18 | 1.27e+20 | 1.28e+20 |
J 160.18550, 39.95286| 0.019 | 0.019    | 1.73e+20 | 1.69e+20 | 1.01e+19 | 9.73e+18 | 1.83e+20 | 1.78e+20 |
J 168.22704, 13.43577| 0.019 | 0.019    | 1.56e+20 | 1.57e+20 | 9.03e+18 | 9.05e+18 | 1.65e+20 | 1.66e+20 |
J 168.33508, 17.59401| 0.019 | 0.018    | 1.27e+20 | 1.29e+20 | 6.94e+18 | 6.97e+18 | 1.34e+20 | 1.36e+20 |
J 170.90982, 43.09676| 0.020 | 0.020    | 2.65e+20 | 2.85e+20 | 1.68e+19 | 1.80e+19 | 2.82e+20 | 3.03e+20 |
J 175.91515, 46.35567| 0.024 | 0.024    | 2.68e+20 | 2.71e+20 | 2.03e+19 | 2.06e+19 | 2.88e+20 | 2.92e+20 |
J 178.82455, 23.40607| 0.023 | 0.024    | 1.72e+20 | 1.83e+20 | 1.22e+19 | 1.37e+19 | 1.85e+20 | 1.97e+20 |
J 179.32193, 33.61040| 0.021 | 0.021    | 1.82e+20 | 1.81e+20 | 1.19e+19 | 1.15e+19 | 1.94e+20 | 1.93e+20 |
J 180.51560, 58.03831| 0.020 | 0.021    | 1.64e+20 | 1.61e+20 | 1.01e+19 | 1.01e+19 | 1.74e+20 | 1.71e+20 |
J 189.10840, 16.53828| 0.028 | 0.030    | 1.94e+20 | 2.04e+20 | 1.76e+19 | 1.93e+19 | 2.12e+20 | 2.23e+20 |
J 189.24281, 63.18719| 0.014 | 0.013    | 1.15e+20 | 1.08e+20 | 4.42e+18 | 3.98e+18 | 1.19e+20 | 1.12e+20 |
