NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 86.75659, -39.07451| 0.049 | 0.048    | 3.81e+20 | 3.70e+20 | 6.51e+19 | 6.16e+19 | 4.46e+20 | 4.32e+20 |
J 109.38189, 37.75514| 0.070 | 0.071    | 6.50e+20 | 6.64e+20 | 1.67e+20 | 1.74e+20 | 8.17e+20 | 8.38e+20 |
J 116.22001, 39.45678| 0.053 | 0.053    | 5.55e+20 | 5.66e+20 | 1.06e+20 | 1.09e+20 | 6.61e+20 | 6.76e+20 |
J 168.81513, 53.33425| 0.012 | 0.012    | 9.34e+19 | 8.85e+19 | 2.98e+18 | 2.83e+18 | 9.64e+19 | 9.14e+19 |
J 168.96687, 1.49904| 0.042 | 0.040    | 4.37e+20 | 4.34e+20 | 6.38e+19 | 6.01e+19 | 5.00e+20 | 4.94e+20 |
J 172.97742, -19.92904| 0.056 | 0.054    | 4.01e+20 | 4.02e+20 | 7.93e+19 | 7.74e+19 | 4.80e+20 | 4.80e+20 |
J 177.39940, 22.39862| 0.024 | 0.024    | 1.94e+20 | 1.92e+20 | 1.47e+19 | 1.42e+19 | 2.09e+20 | 2.07e+20 |
J 181.55115, -8.80067| 0.059 | 0.062    | 4.12e+20 | 4.35e+20 | 8.67e+19 | 9.74e+19 | 4.99e+20 | 5.33e+20 |
J 197.75694, -3.17764| 0.028 | 0.028    | 1.77e+20 | 1.82e+20 | 1.57e+19 | 1.62e+19 | 1.93e+20 | 1.98e+20 |
J 245.35334, 38.16907| 0.011 | 0.012    | 1.09e+20 | 1.13e+20 | 3.45e+18 | 3.71e+18 | 1.13e+20 | 1.16e+20 |
J 292.95690, -26.57611| 0.120 | 0.122    | 8.14e+20 | 8.31e+20 | 3.53e+20 | 3.63e+20 | 1.17e+21 | 1.19e+21 |
J 312.48435, -32.28119| 0.080 | 0.082    | 5.61e+20 | 5.60e+20 | 1.64e+20 | 1.67e+20 | 7.24e+20 | 7.27e+20 |
J 332.94107, -3.82701| 0.106 | 0.105    | 5.60e+20 | 5.53e+20 | 2.17e+20 | 2.12e+20 | 7.77e+20 | 7.65e+20 |
J 333.73945, -14.00260| 0.039 | 0.039    | 2.90e+20 | 2.88e+20 | 3.79e+19 | 3.79e+19 | 3.28e+20 | 3.26e+20 |
J 337.14113, 20.62175| 0.047 | 0.046    | 4.29e+20 | 4.26e+20 | 7.16e+19 | 6.95e+19 | 5.01e+20 | 4.95e+20 |
J 337.43899, -27.92734| 0.019 | 0.018    | 1.38e+20 | 1.35e+20 | 7.69e+18 | 7.37e+18 | 1.45e+20 | 1.42e+20 |
J 341.26940, 26.63429| 0.064 | 0.065    | 5.07e+20 | 5.04e+20 | 1.18e+20 | 1.18e+20 | 6.26e+20 | 6.22e+20 |
J 230.46637, 7.70888| 0.037 | 0.036    | 2.72e+20 | 2.68e+20 | 3.33e+19 | 3.24e+19 | 3.05e+20 | 3.00e+20 |
J 181.11341, 1.89522| 0.024 | 0.024    | 1.76e+20 | 1.75e+20 | 1.29e+19 | 1.28e+19 | 1.89e+20 | 1.88e+20 |
J 220.16514, 3.47045| 0.035 | 0.035    | 2.45e+20 | 2.40e+20 | 2.86e+19 | 2.80e+19 | 2.74e+20 | 2.68e+20 |
J 4.63960, 16.43694 | 0.060 | 0.058    | 3.99e+20 | 3.99e+20 | 8.48e+19 | 8.25e+19 | 4.84e+20 | 4.81e+20 |
J 19.72477, -1.00209| 0.044 | 0.044    | 4.12e+20 | 4.02e+20 | 6.39e+19 | 6.15e+19 | 4.76e+20 | 4.63e+20 |
J 70.79147, 2.17186 | 0.165 | 0.163    | 1.04e+21 | 1.02e+21 | 5.75e+20 | 5.61e+20 | 1.61e+21 | 1.58e+21 |
J 73.54585, -3.01450| 0.046 | 0.045    | 4.04e+20 | 3.92e+20 | 6.52e+19 | 6.22e+19 | 4.70e+20 | 4.54e+20 |
J 115.43435, 74.24395| 0.028 | 0.026    | 3.35e+20 | 3.28e+20 | 3.08e+19 | 2.84e+19 | 3.66e+20 | 3.57e+20 |
J 130.73320, 29.45749| 0.054 | 0.056    | 3.94e+20 | 4.11e+20 | 7.61e+19 | 8.21e+19 | 4.70e+20 | 4.93e+20 |
J 137.30314, 10.97556| 0.042 | 0.041    | 3.27e+20 | 3.21e+20 | 4.71e+19 | 4.50e+19 | 3.74e+20 | 3.66e+20 |
J 152.19776, 11.79342| 0.040 | 0.040    | 3.57e+20 | 3.52e+20 | 4.93e+19 | 4.87e+19 | 4.06e+20 | 4.01e+20 |
J 152.63463, -12.66578| 0.066 | 0.068    | 5.61e+20 | 5.82e+20 | 1.36e+20 | 1.44e+20 | 6.97e+20 | 7.26e+20 |
J 224.31287, 22.34236| 0.042 | 0.043    | 3.15e+20 | 3.18e+20 | 4.56e+19 | 4.66e+19 | 3.60e+20 | 3.64e+20 |
J 325.06324, -23.66131| 0.051 | 0.052    | 3.67e+20 | 3.76e+20 | 6.58e+19 | 6.88e+19 | 4.33e+20 | 4.44e+20 |
J 179.96790, 55.53489| 0.013 | 0.014    | 1.00e+20 | 1.05e+20 | 3.74e+18 | 4.09e+18 | 1.04e+20 | 1.09e+20 |
J 20.91627, 33.25604| 0.059 | 0.059    | 5.30e+20 | 5.25e+20 | 1.12e+20 | 1.12e+20 | 6.42e+20 | 6.38e+20 |
J 190.70773, 2.68774| 0.027 | 0.027    | 1.91e+20 | 1.90e+20 | 1.66e+19 | 1.64e+19 | 2.08e+20 | 2.07e+20 |
J 198.84978, -16.38545| 0.076 | 0.077    | 4.97e+20 | 4.87e+20 | 1.38e+20 | 1.37e+20 | 6.36e+20 | 6.24e+20 |
J 225.29692, 1.70201| 0.052 | 0.052    | 4.38e+20 | 4.37e+20 | 8.12e+19 | 8.14e+19 | 5.20e+20 | 5.19e+20 |
J 226.62204, 1.60559| 0.055 | 0.054    | 4.31e+20 | 4.29e+20 | 8.38e+19 | 8.31e+19 | 5.15e+20 | 5.12e+20 |
J 258.11555, -23.36854| 0.698 | 0.664    | 2.00e+21 | 1.92e+21 | 1.42e+21 | 1.42e+21 | 3.42e+21 | 3.34e+21 |
J 116.88098, -19.29438| 0.500 | 0.513    | 4.05e+21 | 4.18e+21 | 1.44e+21 | 1.44e+21 | 5.49e+21 | 5.62e+21 |
J 55.32288, 15.39852| 0.334 | 0.347    | 1.47e+21 | 1.50e+21 | 1.13e+21 | 1.16e+21 | 2.60e+21 | 2.66e+21 |
J 64.90877, 2.40987 | 0.173 | 0.177    | 9.89e+20 | 1.02e+21 | 5.77e+20 | 6.00e+20 | 1.57e+21 | 1.62e+21 |
J 146.80289, 76.38706| 0.031 | 0.031    | 2.15e+20 | 2.28e+20 | 2.13e+19 | 2.33e+19 | 2.37e+20 | 2.52e+20 |
J 351.86468, -2.07750| 0.051 | 0.052    | 4.65e+20 | 4.74e+20 | 8.38e+19 | 8.85e+19 | 5.49e+20 | 5.62e+20 |
J 52.77508, -21.00915| 0.032 | 0.032    | 2.13e+20 | 2.15e+20 | 2.19e+19 | 2.23e+19 | 2.35e+20 | 2.37e+20 |
J 155.95915, -27.25660| 0.070 | 0.069    | 5.73e+20 | 5.57e+20 | 1.47e+20 | 1.40e+20 | 7.20e+20 | 6.97e+20 |
J 35.23576, -38.48089| 0.018 | 0.019    | 1.90e+20 | 1.96e+20 | 1.06e+19 | 1.13e+19 | 2.01e+20 | 2.07e+20 |
J 38.07821, -44.34630| 0.019 | 0.018    | 1.70e+20 | 1.69e+20 | 9.57e+18 | 9.41e+18 | 1.80e+20 | 1.79e+20 |
J 69.75924, 5.34531 | 0.198 | 0.202    | 8.89e+20 | 8.92e+20 | 5.90e+20 | 6.01e+20 | 1.48e+21 | 1.49e+21 |
J 69.75296, 7.26879 | 0.154 | 0.154    | 9.62e+20 | 9.18e+20 | 5.12e+20 | 4.90e+20 | 1.47e+21 | 1.41e+21 |
J 82.22100, -39.47098| 0.023 | 0.022    | 2.21e+20 | 2.11e+20 | 1.58e+19 | 1.44e+19 | 2.37e+20 | 2.25e+20 |
J 101.95845, 70.24713| 0.101 | 0.103    | 5.35e+20 | 5.40e+20 | 1.98e+20 | 2.05e+20 | 7.33e+20 | 7.45e+20 |
J 124.85836, 63.62404| 0.048 | 0.045    | 3.80e+20 | 3.70e+20 | 6.40e+19 | 5.84e+19 | 4.44e+20 | 4.28e+20 |
J 150.13343, 44.14436| 0.011 | 0.011    | 1.05e+20 | 1.05e+20 | 3.30e+18 | 3.20e+18 | 1.09e+20 | 1.08e+20 |
J 155.54181, 38.52321| 0.013 | 0.014    | 1.45e+20 | 1.56e+20 | 5.34e+18 | 6.18e+18 | 1.50e+20 | 1.62e+20 |
J 172.51162, 36.63563| 0.023 | 0.023    | 2.01e+20 | 2.04e+20 | 1.44e+19 | 1.44e+19 | 2.15e+20 | 2.19e+20 |
J 200.06104, 33.14252| 0.014 | 0.015    | 1.26e+20 | 1.31e+20 | 5.01e+18 | 5.54e+18 | 1.31e+20 | 1.36e+20 |
J 206.87747, -11.75279| 0.073 | 0.074    | 4.69e+20 | 4.60e+20 | 1.24e+20 | 1.23e+20 | 5.94e+20 | 5.83e+20 |
J 215.94900, 24.07790| 0.028 | 0.028    | 2.20e+20 | 2.20e+20 | 1.99e+19 | 2.00e+19 | 2.40e+20 | 2.40e+20 |
J 226.03090, -2.80436| 0.111 | 0.110    | 5.93e+20 | 5.97e+20 | 2.41e+20 | 2.41e+20 | 8.34e+20 | 8.38e+20 |
J 233.22409, 30.34964| 0.029 | 0.029    | 2.31e+20 | 2.30e+20 | 2.14e+19 | 2.14e+19 | 2.52e+20 | 2.52e+20 |
J 234.88535, -83.58995| 0.130 | 0.131    | 7.15e+20 | 7.29e+20 | 3.35e+20 | 3.44e+20 | 1.05e+21 | 1.07e+21 |
J 260.04142, 26.62475| 0.045 | 0.045    | 3.45e+20 | 3.36e+20 | 5.39e+19 | 5.25e+19 | 3.99e+20 | 3.89e+20 |
J 260.07064, 35.60656| 0.039 | 0.038    | 3.44e+20 | 3.46e+20 | 4.61e+19 | 4.54e+19 | 3.90e+20 | 3.92e+20 |
J 283.03673, 57.19517| 0.052 | 0.052    | 4.39e+20 | 4.34e+20 | 8.17e+19 | 7.97e+19 | 5.21e+20 | 5.13e+20 |
J 322.41643, 0.08856| 0.047 | 0.046    | 3.69e+20 | 3.63e+20 | 6.05e+19 | 5.78e+19 | 4.29e+20 | 4.21e+20 |
J 202.44895, -31.60654| 0.054 | 0.053    | 3.86e+20 | 3.89e+20 | 7.33e+19 | 7.32e+19 | 4.59e+20 | 4.62e+20 |
J 348.49485, -42.72631| 0.012 | 0.011    | 1.17e+20 | 1.14e+20 | 3.79e+18 | 3.61e+18 | 1.20e+20 | 1.17e+20 |
J 162.60885, -12.84493| 0.050 | 0.050    | 3.88e+20 | 3.87e+20 | 6.82e+19 | 6.81e+19 | 4.57e+20 | 4.55e+20 |
J 115.24306, 55.42731| 0.051 | 0.051    | 4.35e+20 | 4.27e+20 | 7.95e+19 | 7.67e+19 | 5.14e+20 | 5.04e+20 |
J 349.65963, 42.95807| 0.200 | 0.199    | 1.04e+21 | 1.05e+21 | 6.70e+20 | 6.74e+20 | 1.71e+21 | 1.72e+21 |
J 184.42378, 3.65439| 0.019 | 0.019    | 1.74e+20 | 1.78e+20 | 1.01e+19 | 1.01e+19 | 1.84e+20 | 1.88e+20 |
J 209.96052, 62.51794| 0.019 | 0.020    | 1.88e+20 | 1.78e+20 | 1.10e+19 | 1.07e+19 | 1.99e+20 | 1.89e+20 |
J 266.06048, 32.99158| 0.047 | 0.048    | 3.88e+20 | 3.83e+20 | 6.40e+19 | 6.39e+19 | 4.52e+20 | 4.47e+20 |
J 132.52782, 36.07116| 0.032 | 0.032    | 2.95e+20 | 2.96e+20 | 3.19e+19 | 3.19e+19 | 3.26e+20 | 3.28e+20 |
J 155.91556, 4.18557| 0.030 | 0.030    | 2.53e+20 | 2.46e+20 | 2.49e+19 | 2.40e+19 | 2.78e+20 | 2.70e+20 |
J 148.20493, 51.88480| 0.009 | 0.009    | 7.52e+19 | 7.51e+19 | 1.74e+18 | 1.70e+18 | 7.69e+19 | 7.68e+19 |
J 135.15348, 20.89454| 0.028 | 0.028    | 2.90e+20 | 2.86e+20 | 2.71e+19 | 2.60e+19 | 3.17e+20 | 3.12e+20 |
+===================+=======+==========+==========+==========+==========+==========+==========+==========+
