#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
ABELL_2218,1.44E-02,2.88E-02,0.0062956,0.0018873,333.21,333.21,86.855,1.16E-10,1.16E-10,3.98E-11,-4.40E+11,-5.40E+10,9.9463,1.6086,2.62E-23,17.587,5.9903,10.552,3.5942
ABELL_2219,1.79E-02,3.58E-02,0.010266,0.0013282,505.35,505.35,147.68,3.97E-10,3.97E-10,1.22E-10,1.29E+13,2.64E+12,20.447,4.9053,3.86E-23,15.052,4.1026,9.0312,2.4616
ABELL_2244,1.77E-02,2.65E-02,0.016491,0.00090085,84.688,84.688,5.1845,1.47E-10,1.47E-10,1.08E-11,3.60E+12,1.30E+11,5.4388,0.27,2.14E-23,4.4926,0.33162,2.6955,0.19897
ABELL_2255,2.25E-02,2.99E-02,0.0020183,0.00017646,535.05,535.05,97.66,2.79E-11,2.79E-11,5.42E-12,1.66E+11,2.11E+10,8.1109,1.3044,2.37E-23,49.401,9.0427,29.641,5.4256
ABELL_2256,2.21E-02,2.76E-02,0.0028195,0.00021195,358.35,358.35,44.582,7.84E-11,7.84E-11,2.57E-11,1.44E+11,1.20E+10,6.8195,0.74983,2.31E-23,30.623,4.0788,18.374,2.4473
ABELL_2259,1.39E-02,2.78E-02,0.0074023,0.0028787,137.9,137.9,38.849,6.28E-11,6.28E-11,2.54E-11,1.70E+12,1.38E+11,5.2334,0.62927,2.05E-23,10.049,4.0904,6.0291,2.4542
ABELL_2261,1.71E-02,3.42E-02,0.025848,0.00034876,83.337,83.732,9.7519,3.05E-10,3.07E-10,3.58E-11,5.63E+12,4.82E+11,7.32,0.85,2.42E-23,3.4131,0.39899,2.0478,0.2394
ABELL_2294,1.43E-02,2.85E-02,0.010338,0.00034465,182.63,210.93,58.511,1.45E-10,1.68E-10,4.66E-11,5.38E+12,1.26E+12,10.01,2.77,2.82E-23,10.03,2.7956,6.018,1.6774
ABELL_2319,2.15E-02,2.69E-02,0.0061434,0.00024692,274.07,274.07,11.784,9.15E-11,9.15E-11,4.79E-12,9.97E+10,2.46E+09,9.0035,0.7775,2.87E-23,14.911,1.4203,8.9468,0.85219
ABELL_2384,1.73E-02,2.59E-02,0.011677,0.00098592,38.509,52.847,3.7898,3.75E-11,5.15E-11,4.38E-12,,,2.72,0.16,1.78E-23,3.8126,0.39234,2.2876,0.2354
ABELL_2390,1.74E-02,3.49E-02,0.035362,0.00029743,61.892,61.892,6.5808,3.82E-10,3.82E-10,4.07E-11,7.48E+12,5.83E+11,6.117,0.61858,2.25E-23,2.2401,0.22732,1.3441,0.13639
ABELL_2409,2.45E-02,3.67E-02,0.01176,0.00035975,109.33,112.74,18.505,1.08E-10,1.11E-10,1.84E-11,9.68E+12,1.19E+12,5.83,0.95,2.20E-23,6.5887,1.0924,3.9532,0.65543
ABELL_2420,2.35E-02,3.13E-02,0.0047058,0.0019736,360.52,360.52,134.02,1.85E-10,1.85E-10,2.16E-10,4.97E+11,8.92E+10,9.2853,2.0738,2.88E-23,20.013,9.5091,12.008,5.7055
ABELL_2462,2.07E-02,2.76E-02,0.0027585,0.00061688,157.06,157.06,28.473,1.38E-11,1.38E-11,3.40E-12,3.34E+11,2.53E+10,2.9276,0.29845,1.90E-23,16.342,4.0164,9.8052,2.4098
ABELL_2537,2.09E-02,4.18E-02,0.015885,0.0029285,128.98,131.51,24.375,2.10E-10,2.14E-10,4.90E-11,3.00E+12,3.16E+11,8.31,1.17,2.69E-23,5.6845,1.3186,3.4107,0.79119
ABELL_2554,1.98E-02,2.98E-02,0.0051301,0.0013762,239.7,239.7,55.114,5.93E-11,5.93E-11,1.81E-11,5.14E+12,5.45E+11,7.13,1.0054,2.17E-23,18.66,5.6549,11.196,3.3929
ABELL_2556,2.29E-02,3.05E-02,0.021158,0.00045302,37.413,37.413,2.5405,9.81E-11,9.81E-11,6.84E-12,3.27E+12,1.59E+11,2.9619,0.20611,1.75E-23,2.3317,0.16976,1.399,0.10186
ABELL_2589,2.02E-02,2.42E-02,0.0074923,0.0029673,96.361,96.361,29.026,4.48E-11,4.48E-11,1.89E-11,1.89E+12,2.01E+11,3.6403,0.61943,2.04E-23,6.9461,2.9941,4.1677,1.7965
ABELL_2597,2.27E-02,3.03E-02,0.035399,0.00057924,29.155,29.155,2.5724,1.80E-10,1.80E-10,1.61E-11,2.58E+12,1.65E+11,3.1708,0.26074,1.82E-23,1.4341,0.12024,0.86047,0.072145
ABELL_2626,2.19E-02,2.74E-02,0.011532,0.0007344,52.808,52.808,4.2543,5.04E-11,5.04E-11,4.71E-12,2.29E+12,1.15E+11,2.6919,0.18809,1.72E-23,3.9643,0.37479,2.3786,0.22487
ABELL_2631,2.09E-02,4.18E-02,0.0052568,0.00051519,322.32,322.32,69.773,8.30E-11,8.30E-11,1.90E-11,2.94E+11,4.45E+10,8.6731,1.7978,2.46E-23,19.614,4.497,11.768,2.6982
ABELL_2657,1.96E-02,2.35E-02,0.007005,0.0014779,109.52,109.52,17.079,4.55E-11,4.55E-11,1.01E-11,1.18E+12,5.81E+10,3.9842,0.27,2.06E-23,8.0494,1.7837,4.8296,1.0702
